# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 22:00:37 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.808470,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,,0,1,0,0,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.247280,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.887803076,4.6600000e-07,-4.6600000e-07,124.8130808,7.510000e-05,-7.510000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.709350,48.080853,9.174
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.849371737,2.3440000e-06,-2.3440000e-06,157.5266860,4.880000e-04,-4.880000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.356540,38.947380,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,,0,0,0,0,4.780327581,8.5200000e-07,-8.5200000e-07,132.9740860,1.480000e-04,-1.480000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.739720,44.647419,11.665
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,7.051856370,,,133.3669015,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.739720,44.647419,11.665
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.334101467,1.6550000e-06,-1.6550000e-06,133.7030810,9.830000e-04,-9.830000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.599550,38.366772,12.161
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.213668926,1.0900000e-06,-1.0900000e-06,123.6118780,2.740000e-04,-2.740000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.615330,50.135750,12.211
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.160152590,8.6800000e-07,-8.6800000e-07,121.7046450,6.730000e-04,-6.730000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.661010,41.137890,12.450
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.719809197,9.3900000e-07,-9.3900000e-07,135.0682980,2.060000e-04,-2.060000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.803770,49.530788,13.123
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.288120,42.451080,13.563
12,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.747838198,3.8960000e-06,-3.8960000e-06,171.6650400,9.020000e-04,-9.020000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.061520,50.265129,13.496
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,,0,0,0,0,17.855221681,3.6760000e-06,-3.6760000e-06,146.5964660,1.630000e-04,-1.630000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.453740,41.010990,11.353
